name,attribute,species,rank,f_skill,s_skill,minhp,minatk,maxhp1,maxatk1,f_skill_effect,s_skill_effect
レーヴァテイン,火,剣,10,紅蓮の守護,,34,435,217.0,2565.0,火属性キャラの最大HP上昇(大),
マナウィダンブレード,水,剣,10,霧氷の守護,,30,315,175.0,2015.0,水属性キャラの最大HP上昇(大),
七星剣,光,剣,7,天光の攻刃,,35,420,213.0,2500.0,光属性キャラの攻撃力上昇(大),
アルバコアブレード,闇,剣,10,奈落の守護,,24,345,169.0,2045.0,闇属性キャラの最大HP上昇(大),
七星剣・真,光,剣,10,天光の攻刃,,36,420,216.0,2520.0,光属性キャラの攻撃力上昇(大),
風神剣,風,剣,10,乱気の攻刃,,27,330,172.0,2030.0,風属性キャラの攻撃力上昇(大),
アンノウンソード,火,剣,15,アンノウン・ATK II,,26,340,174.0,2065.0,武器属性キャラの攻撃力上昇(EX大),
バレンタインソード,光,剣,10,天光の守護,,28,325,173.0,2025.0,光属性キャラの最大HP上昇(大),
フェアーソード,火,剣,10,ストレングス,,27,330,173.0,2015.0,武器属性キャラの攻撃力上昇(EX大),
ディープデザイア,土,剣,15,地裂の攻刃,奈落の守護,38,420,221.0,2555.0,土属性キャラの攻撃力上昇(大),闇属性キャラの最大HP上昇(大)
大地の剣,土,剣,40,巨人の守護,先制の岩壁,32,351,190.0,2201.0,HPを500上昇　※スキルLv+1につき+50土属性以外にも効果あり,バトル開始時から8ターンの間土属性キャラの防御力上昇
オブシダンソード,闇,剣,1,先制の黒の結界,,23,335,164.0,1980.0,バトル開始時、闇属性キャラにバリア効果,
ウットリュフ串,土,剣,10,大地の攻刃,土の守護,29,320,174.0,2020.0,土属性キャラの攻撃力上昇(中),土属性キャラの最大HP上昇(小)
光の剣,闇,剣,10,烈光の至恩,,23,350,167.0,2045.0,闇属性キャラの攻撃力上昇(EX大),
ブラスト・ソード,水,剣,10,自動辻斬装置,,31,310,176.0,2010.0,水属性キャラの攻撃力上昇(EX大),
オールド・エッケザックス,火,剣,60,機炎方陣・刹那,機炎方陣・背水,106,278,664.0,1677.0,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラのHPが少ないほど攻撃力が上昇(小)
エッケザックス,火,剣,60,業火の刹那,火の背水,106,278,664.0,1677.0,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラのHPが少ないほど攻撃力が上昇(小)
ショロトルリッパー,風,剣,10,竜巻の攻刃,風の技巧,23,350,168.0,2050.0,風属性キャラの攻撃力上昇(中),風属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
コートシップ・ブーケ,火,剣,10,紅蓮の攻刃,,27,332,174.0,2020.0,火属性キャラの攻撃力上昇(大),
ディスペアー,闇,剣,25,奈落の攻刃,天光の攻刃,34,460,223.0,2665.0,闇属性キャラの攻撃力上昇(大),光属性キャラの攻撃力上昇(大)
S・D,火,剣,10,エクシード,,26,335,170.0,2025.0,被ダメージで火属性キャラの攻撃力上昇(EX累積),
アントウェルペン,火,剣,10,紅蓮の攻刃,先制の炎刃,32,440,210.0,2535.0,火属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間火属性キャラの攻撃力上昇
ナーゲルリング,水,剣,10,霧氷の攻刃,水の技巧,38,410,217.0,2500.0,水属性キャラの攻撃力上昇(大),水属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
イイルクーン,風,剣,10,乱気の技巧,竜巻の羅刹,36,425,216.0,2520.0,風属性攻撃で弱点を突いた時、クリティカル確率上昇(大),風属性キャラの攻撃力上昇(中)/ダブルアタック確率DOWN
カースドブレイド,闇,剣,10,ダークドレイン,カースドテンタクル,22,355,166.0,2050.0,稀に通常攻撃時の与ダメージに応じて回復 ◆メイン装備時/主人公のみ,闇属性キャラの攻撃力上昇(EX大)
ソード・オブ・ミカエル,火,剣,30,ミカエルの祝福II,火の神威,31,410,206.0,2465.0,火属性のキャラが風属性の敵に対して与ダメージUP,火属性キャラの攻撃力と最大HPが上昇(小)
ローズクリスタルソード,水,剣,60,蒼薔薇の棘,蒼薔薇の花弁,34,365,204.0,2320.0,,
フェアネスマーク,光,剣,10,天光の攻刃,先制の白壁,43,395,246.0,2390.0,光属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間光属性キャラの防御力上昇
プロトタイプ,闇,剣,10,奈落の攻刃,空と星を繋ぐ者,32,445,210.0,2550.0,闇属性キャラの攻撃力上昇(大),獲得経験値UP
聖域の守護剣,水,剣,60,霧氷の攻刃II,チェインフォース,34,367,202.0,2332.0,水属性キャラの攻撃力上昇(大),チェインバーストのダメージがUP/チェインバーストのダメージ上限がUP
パーマフロスト・ソード,水,剣,10,霧氷の攻刃,水の秘奥,33,435,205.0,2575.0,水属性キャラの攻撃力上昇(大),水属性キャラの奥義ダメージUP(小)
スパルタン・サイフォス,　,剣,60,精兵の賦性,精兵の資質,35,377,279.0,3215.0,,
ハイリゲスシュヴェールト,風,剣,10,乱気の攻刃,竜巻の二手,36,420,215.0,2510.0,風属性キャラの攻撃力上昇(大),風属性キャラのダブルアタック確率上昇(中)
ウィルムスウォード,土,剣,10,竜伐の覇気,竜伐の心得,30,315,175.0,2015.0,土属性キャラの奥義ダメージUP　◆メイン装備時,土属性キャラの攻撃力上昇(EX大)
リディル,　,剣,60,剣聖の賦性,剣聖の資質,31,397,275.0,3300.0,,
リバーススレッド,光,剣,10,天の理,セラフ・アッシャー,28,324,173.0,2017.0,光属性キャラの最大HP上昇(EX大),光属性攻撃UP効果が付与されている時、ダブルアタック確率UP　◆メイン装備時/主人公のみ
レッドサイクロン,火,剣,10,サウザンド・ドリーム,果てなき修練,22,354,152.0,2122.0,火属性キャラの攻撃力上昇(EX大),奥義発動時に自分の攻撃力UP(累積)　◆メイン装備時/主人公のみ
エムブラスク・レプリカ,闇,剣,10,奈落の攻刃,闇の守護,28,424,204.0,2497.0,闇属性キャラの攻撃力上昇(大),闇属性キャラの最大HP上昇(小)
金属バット,風,剣,10,摩武駄致,タイマンの極意,21,360,150.0,2150.0,風属性キャラの攻撃力上昇(EX大),敵の数が1体の時、連続攻撃確率UP/防御UP　◆メイン装備時/主人公のみ
ゴットフリート,水,剣,10,霧氷の攻刃,水の秘奥,34,421,210.0,2610.0,水属性キャラの攻撃力上昇(大),水属性キャラの奥義ダメージUP(小)
ニンジンブレード,土,剣,10,地裂の攻刃,にんじんハンバーグ,20,342,158.0,2052.0,土属性キャラの攻撃力上昇(大),ターン終了時稀にニンジンが降ってきて敵全体に土属性ダメージ　◆メイン装備時/主人公のみ
アゾット,闇,短剣,20,奈落の攻刃,紅蓮の攻刃,37,430,244.0,2500.0,闇属性キャラの攻撃力上昇(大),火属性キャラの攻撃力上昇(大)
フローレンベルク,火,短剣,40,勇躍の心得,,32,350,209.0,2115.0,シナリオイベントでの獲得貢献度UP ※シナリオイベントで獲得した貢献度が、累計貢献度として加算される際にボーナスが付く(MVP判定用の貢献度ではない),
不死鳥の嘴刃,火,短剣,10,紅蓮の守護,,29,320,190.0,1930.0,火属性キャラの最大HP上昇(大),
ネフティスクリス,風,短剣,10,乱気の守護,,30,315,192.0,1930.0,風属性キャラの最大HP上昇(大),
ダイヤモンドエッジ,光,短剣,15,天光の守護,,40,400,245.0,2450.0,光属性キャラの最大HP上昇(大),
四天刃,光,短剣,4,天光の攻刃,,37,370,227.0,2270.0,光属性キャラの攻撃力上昇(大),
コムラビ,闇,短剣,15,奈落の守護,,37,430,240.0,2460.0,闇属性キャラの最大HP上昇(大),
トリック・オア・トリート,火,短剣,15,紅蓮の攻刃,,39,420,242.0,2450.0,火属性キャラの攻撃力上昇(大),
四天刃・真,光,短剣,10,天光の攻刃,,40,400,240.0,2400.0,光属性キャラの攻撃力上昇(大),
オールド・コルタナ,闇,短剣,60,黒霧方陣・暴君,黒霧方陣・三手,32,379,218.0,2241.0,闇属性キャラの攻撃力上昇(大)/闇属性キャラの最大HP-10%,闇属性キャラの連続攻撃確率上昇(大)
コルタナ,闇,短剣,60,奈落の暴君,奈落の三手,32,379,218.0,2241.0,闇属性キャラの攻撃力上昇(大)/闇属性キャラの最大HP-10%,闇属性キャラの連続攻撃確率上昇(大)
デュアルヘリックス,光,短剣,20,天光の攻刃,奈落の攻刃,41,410,247.0,2470.0,光属性キャラの攻撃力上昇(大),闇属性キャラの攻撃力上昇(大)
ファントムシーフナイフ,水,短剣,20,霧氷の攻刃,水の見切,42,390,241.0,2380.0,水属性キャラの攻撃力上昇(大),
ブラッディスカー,闇,短剣,10,奈落の技巧,闇の攻刃,38,410,241.0,2380.0,闇属性攻撃で弱点を突いた時、クリティカル確率上昇(大),闇属性キャラの攻撃力上昇(小)
デルタ・クォーツ,火,短剣,10,紅蓮の三手,業火の見切,36,425,216.0,2495.0,火属性キャラの連続攻撃確率上昇(大),火属性キャラ属性キャラが稀に回避カウンター(ダメージ中)
ローズクリスタルナイフ,風,短剣,60,翠薔薇の棘,翠薔薇の花弁,35,365,220.0,2225.0,,
ダンデライオン,風,短剣,10,愛の信託,貴方へ贈る言葉,30,314,191.0,1926.0,風属性男性キャラの攻撃力上昇/風属性女性キャラの防御力上昇 ◆メイン装備時,風属性キャラの攻撃力上昇(EX大)
女王の一刺し,土,短剣,10,ロイヤルギフト,ロイヤルアフェクション,32,305,194.0,1915.0,敵が毒状態の時、通常攻撃に土属性追撃効果　◆メイン装備時/主人公のみ,土属性キャラの攻撃力上昇(EX大)
ル・フェイ,風,短剣,60,乱気の暴君,乱気の三手,40,340,241.0,2127.0,風属性キャラの攻撃力上昇(大)/風属性キャラの最大HP-10%,風属性キャラの連続攻撃確率上昇(大)
牛鬼包丁,闇,短剣,10,紅ニ染マル刃,鬼参ル丑ノ刻,20,349,155.0,2106.0,闇属性キャラの攻撃力上昇(EX大),自分に呪い効果が付与されている時、闇属性追撃効果　◆メイン装備時/主人公のみ
クレティネ,光,槍,10,雷電の技巧,雷電の見切,43,385,259.0,2305.0,光属性攻撃で弱点を突いた時、クリティカル確率上昇(中),光属性キャラ属性キャラが稀に回避カウンター(ダメージ中)
ネフティスフォーク,風,槍,10,乱気の攻刃,,32,300,207.0,1855.0,風属性キャラの攻撃力上昇(大),
一伐槍,光,槍,1,天光の攻刃,,42,370,251.0,2235.0,光属性キャラの攻撃力上昇(大),
トリアイナ,水,槍,15,霧氷の攻刃,,36,290,213.0,1870.0,水属性キャラの攻撃力上昇(大),
ローゼンメイデン,闇,槍,15,奈落の攻刃,,40,410,260.0,2360.0,闇属性キャラの攻撃力上昇(大),
一伐槍・真,光,槍,10,天光の攻刃,,43,385,260.0,2300.0,光属性キャラの攻撃力上昇(大),
天干地支刀・未之飾,闇,槍,20,奈落の守護,乱気の攻刃,41,415,264.0,2400.0,闇属性キャラの最大HP上昇(大),風属性キャラの攻撃力上昇(大)
雷神矛,光,槍,10,天光の攻刃,,33,300,208.0,1850.0,光属性キャラの攻撃力上昇(大),
アワリティアスピア,土,槍,10,地裂の守護,,34,295,209.0,1845.0,土属性キャラの最大HP上昇(大),
竜槍,火,槍,15,業火の攻刃,火の守護,32,310,209.0,1890.0,火属性キャラの攻撃力上昇(中),火属性キャラの最大HP上昇(小)
貫き門松,火,槍,10,業火の攻刃,火の技巧,30,310,204.0,1860.0,火属性キャラの攻撃力上昇(中),火属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
デスシンボル,水,槍,20,渦潮の攻刃,水の守護,37,295,217.0,1895.0,水属性キャラの攻撃力上昇(中),水属性キャラの最大HP上昇(小)
オールド・ナラクーバラ,風,槍,60,嵐竜方陣・楚歌,嵐竜方陣・暴君,38,350,239.0,2137.0,バトル開始時から3ターンの間風属性キャラの攻撃力上昇,風属性キャラの攻撃力上昇(大)/風属性キャラの最大HP-10%
ナラクーバラ,風,槍,60,竜巻の楚歌,乱気の暴君,38,350,239.0,2137.0,バトル開始時から3ターンの間風属性キャラの攻撃力上昇,風属性キャラの攻撃力上昇(大)/風属性キャラの最大HP-10%
双竜槍,闇,槍,20,奈落の攻刃,反逆の闇刃,40,415,263.0,2395.0,闇属性キャラの攻撃力上昇(大),被ダメージで闇属性キャラの攻撃力上昇(累積)
クリスタルルーン,光,槍,10,天光の三手,光の背水,43,380,260.0,2295.0,光属性キャラの連続攻撃確率上昇(大),光属性キャラのHPが少ないほど攻撃力が上昇(小)
ネプテゥヌスの三叉鉾,水,槍,40,練磨の心得,,40,315,230.0,2005.0,獲得RankポイントUP,
ランス・オブ・ニグレド,光,槍,10,腐蝕の禁術,大いなる業,32,300,206.0,1850.0,メイン装備時味方全体の腐敗状態の敵からの被ダメージを10%軽減,光属性キャラの攻撃力上昇(EX大)
英雄王の槍,土,槍,60,地裂の攻刃II,イクシード・アース,35,364,221.0,2226.0,土属性キャラの攻撃力上昇(大),土属性キャラの奥義ダメージ上限上昇
ゲイダーグ,土,槍,10,地裂の攻刃,先制の岩壁,40,395,250.0,2335.0,土属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間土属性キャラの防御力上昇
ローズクリスタルランス,土,槍,60,橙薔薇の棘,橙薔薇の花弁,45,350,250.0,2080.0,,
サンスポットスピア,闇,槍,10,奈落の攻刃,先制の闇刃,39,403,254.0,2316.0,闇属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間闇属性キャラの攻撃力上昇
ダイモーンスパイン,水,槍,10,渦潮の無双,水の守護,49,355,283.0,2175.0,水属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),水属性キャラの最大HP上昇(小)
くるりん祈願の金箱御守り,光,槍,50,トレハン教のご加護,トレハンストライカー ,40,318,250.0,1990.0,バトル開始時、味方全体にバリア効果,
安心と信頼の赤箱御守り,火,槍,60,トレハン教の威光,トレハン教の導き ,43,332,273.0,2006.0,味方全体の弱体耐性UP/弱体効果「アビリティ封印」無効,
アルベス・レプリカ,火,槍,10,紅蓮の攻刃,火の守護,38,404,235.0,2411.0,火属性キャラの攻撃力上昇(大),火属性キャラの最大HP上昇(小)
コニファラス,光,槍,10,天光の守護,雷電の技巧,43,383,259.0,2299.0,光属性キャラの最大HP上昇(大),光属性攻撃で弱点を突いた時、クリティカル確率上昇(中)
ギュムノートゥス,光,槍,10,頂点捕食者,見敵必雷,33,300,195.0,1905.0,光属性キャラの攻撃力上昇(EX大),被ダメージ時、ターン終了時に敵全体に光属性ダメージ　◆メイン装備時/主人公のみ
ドリル,土,槍,10,螺旋の攻刃,大いなる螺旋,35,210,290.0,1830.0,土属性キャラの攻撃力上昇(EX大),通常攻撃時に攻撃力UP(累積) ◆メイン装備時/主人公のみ
ガリレオ・サイト,水,槍,10,霧氷の渾身,,49,411,286.0,2517.0,水属性キャラのHPが多いほど攻撃力が上昇(大),
フェードラッヘフラッグ,火,槍,10,業火の無双,火の守護,34,421,210.0,2610.0,火属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),火属性キャラの最大HP上昇(小)
ピンキーニードル,光,槍,10,天光の攻刃,ロックオンハート,37,406,225.0,2461.0,光属性キャラの攻撃力上昇(大),敵が魅了状態の時、通常攻撃に光属性追撃効果　◆メイン装備時/主人公のみ
セイクリッドランス,火,槍,10,紅蓮の守護,業火の二手,50,350,270.0,2240.0,火属性キャラの最大HP上昇(大),火属性キャラのダブルアタック確率上昇(中)
ギャラクティカインパクト,風,槍,10,乱気の攻刃,,36,408,222.0,2476.0,風属性キャラの攻撃力上昇(大),
ディアドリックシンボル,風,槍,10,乱気の攻刃,竜巻の見切,46,368,261.0,2281.0,風属性キャラの攻撃力上昇(大),風属性キャラ属性キャラが稀に回避カウンター(ダメージ中)
ランス・オブ・ケルヴィム,闇,槍,10,獅子と牛の咆哮,鷲と人間の思慮,26,332,200.0,1879.0,闇属性キャラの攻撃力上昇(EX大),主人公の残りHPが多いほど味方全体の攻撃が大きくUP ◆メイン装備時
不死鳥の翼斧,火,斧,10,紅蓮の守護,,23,350,152.0,2120.0,火属性キャラの最大HP上昇(大),
ミドガルドの裂斧,土,斧,10,地裂の攻刃,,26,335,155.0,2115.0,土属性キャラの攻撃力上昇(大),
ヘカトンケイレス,光,斧,10,天光の守護,,25,340,154.0,2120.0,光属性キャラの最大HP上昇(大),
三寅斧,光,斧,3,天光の攻刃,,29,405,181.0,2495.0,光属性キャラの攻撃力上昇(大),
三寅斧・真,光,斧,10,天光の攻刃,,32,440,192.0,2640.0,光属性キャラの攻撃力上昇(大),
アンノウンスタンプ,土,斧,15,アンノウン・ATK ,アンノウン・VIT,26,340,157.0,2141.0,,武器属性キャラの最大HP上昇(EX中)、(EX小)
ヴェセラゴハーケン,光,斧,15,雷電の攻刃,光の守護,25,345,157.0,2150.0,光属性キャラの攻撃力上昇(中),光属性キャラの最大HP上昇(小)
レインディアーホーン,土,斧,20,地裂の攻刃,,27,345,159.0,2175.0,土属性キャラの攻撃力上昇(大),
フライアウェイ,火,斧,15,紅蓮の攻刃,熱狂の弾音,31,455,193.0,2695.0,火属性キャラの攻撃力上昇(大),オーバードライブゲージを減少させる量が上昇
ソウルイーター,闇,斧,15,奈落の攻刃,闇の技巧,29,465,191.0,2705.0,闇属性キャラの攻撃力上昇(大),闇属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
黒旋風,風,斧,20,鉄牛,防戦の猛牛,24,350,155.0,2151.0,,
ブラビューラ,土,斧,20,地裂の攻刃,反逆の地刃,34,450,199.0,2725.0,土属性キャラの攻撃力上昇(大),被ダメージで土属性キャラの攻撃力上昇(累積)
ファンゴルン,風,斧,10,乱気の守護,先制の雲壁,24,345,150.0,2120.0,風属性キャラの最大HP上昇(大),バトル開始時から8ターンの間風属性キャラの防御力上昇
スプリットエンド,風,斧,10,乱気の攻刃,竜巻の見切,29,445,181.0,2685.0,風属性キャラの攻撃力上昇(大),風属性キャラ属性キャラが稀に回避カウンター(ダメージ中)
ブロッサムアクス,水,斧,10,霧氷の攻刃,先制の氷壁,33,434,191.0,2631.0,水属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間水属性キャラの防御力上昇
ローズクリスタルアクス,風,斧,60,翠薔薇の髄,翠薔薇の蕾,30,370,210.0,2300.0,,
ヘルマニビス,闇,斧,60,憎悪の神威,イクシード・ダーク,25,415,174.0,2463.0,闇属性キャラの攻撃力と最大HPが上昇(中),闇属性キャラの奥義ダメージ上限上昇
ウルツァイトサイズ,土,斧,10,地裂の秘奥,土の背水,28,459,189.0,2644.0,土属性キャラの奥義ダメージUP(大),土属性キャラのHPが少ないほど攻撃力が上昇(小)
ベルタワー,風,斧,10,心頭滅欲,菩提の探究,26,337,154.0,2118.0,通常攻撃時に確率で弱体効果を1つ回復 ◆メイン装備時/主人公のみ,風属性キャラの攻撃力上昇(EX大)
クラブクラブ,土,斧,60,地裂の守護,甲殻の一撃,33,370,207.0,2300.0,土属性キャラの最大HP上昇(大),連続攻撃が発生しないが通常攻撃で必ずクリティカルが発生
バンチ・オブ・バナナス,水,斧,10,極上バナナ,大自然の衝撃,20,351,110.0,2333.0,水属性キャラの攻撃力上昇(EX大),
ツーバイフォー,火,斧,10,紅蓮の暴君,火の秘奥,31,440,190.0,2640.0,火属性キャラの攻撃力上昇(大)/火属性キャラの最大HP-10%,火属性キャラの奥義ダメージUP(小)
ハイメタルストック,光,斧,10,雷電の刹那,光の秘奥,30,450,140.0,2890.0,光属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),光属性キャラの奥義ダメージUP(小)
クレイヴ・ソリッシュ,光,斧,10,天光の攻刃,雷電の技巧,31,442,188.0,2646.0,光属性キャラの攻撃力上昇(大),光属性攻撃で弱点を突いた時、クリティカル確率上昇(中)
天干地支鈴・亥之飾,光,斧,10,天光の秘奥,雷電の渾身,30,450,180.0,2690.0,光属性キャラの奥義ダメージUP(大),光属性キャラのHPが多いほど攻撃力が上昇(中)
稜鏡の鎚杖,光,杖,1,天光の守護,,50,370,298.0,2230.0,光属性キャラの最大HP上昇(大),
サンフラワーワンド,火,杖,10,紅蓮の攻刃,,44,360,276.0,2100.0,火属性キャラの攻撃力上昇(大),
プロミス,風,杖,20,乱気の攻刃,,31,325,198.0,1990.0,風属性キャラの攻撃力上昇(大),
五神杖,光,杖,5,天光の攻刃,,44,330,272.0,2040.0,光属性キャラの攻撃力上昇(大),
バビロンの導杖,土,杖,10,地裂の攻刃,,38,275,232.0,1730.0,土属性キャラの攻撃力上昇(大),
五神杖・真,光,杖,10,天光の攻刃,,48,360,288.0,2160.0,光属性キャラの攻撃力上昇(大),
バレンタインワンド,闇,杖,10,奈落の攻刃,,33,300,227.0,1755.0,闇属性キャラの攻撃力上昇(大),
マギ・リアリジスセプター,光,杖,10,天光の攻刃,,37,280,231.0,1735.0,光属性キャラの攻撃力上昇(大),
ゴトルベルケーン,光,杖,1,祝福の鐘音,,32,240,200.0,1500.0,獲得経験値UP(5%) ※修練の心得、又はアルビオン流鍛錬と併用可,
セプティアンバーナー,火,杖,40,繁栄の祭火,,39,315,250.0,1900.0,メイン装備時アイテムドロップ率UP,
ハイロイヤルポール,風,杖,15,竜巻の攻刃,風の守護,37,290,234.0,1765.0,風属性キャラの攻撃力上昇(中),風属性キャラの最大HP上昇(小)
トリート・ウロボロス,闇,杖,15,奈落の攻刃,憎悪の治癒,45,385,289.0,2215.0,闇属性キャラの攻撃力上昇(大),闇属性キャラの回復上限上昇(中)
クリスマスワンド,土,杖,1,先制の黄の結界,地裂の治癒,40,285,241.0,1795.0,バトル開始時、土属性キャラにバリア効果,土属性キャラの回復上限上昇(大)
マグマストリーム,火,杖,20,紅蓮の守護,防戦の雲散,36,295,232.0,1770.0,火属性キャラの最大HP上昇(大),
ホワイトウイング,風,杖,20,乱気の技巧,風の治癒,49,375,297.0,2235.0,風属性攻撃で弱点を突いた時、クリティカル確率上昇(大),風属性キャラの回復上限上昇(小)
夢見の書,水,杖,10,霧氷の攻刃,,40,280,235.0,1700.0,水属性キャラの攻撃力上昇(大),
フォニックロッド*1,光,杖,10,マジックチャージ,スピードスペル,37,280,230.0,1730.0,光属性キャラのHPが少ないほど攻撃力が上昇(EX中),光属性キャラの攻撃力上昇(EX小)
ウィーブルロッド,闇,杖,10,インテリジェンス,デクステリティ,33,300,226.0,1750.0,闇属性キャラの攻撃力上昇(EX大)/闇属性キャラの最大HP-7%,闇属性キャラのダブルアタック確率UP(EX小)
キャピュレティオウス,光,杖,10,天光の攻刃,先制の白壁,46,370,287.0,2165.0,光属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間光属性キャラの防御力上昇
モンタギュオウス,水,杖,10,霧氷の攻刃,先制の氷壁,44,380,283.0,2175.0,水属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間水属性キャラの防御力上昇
インフェルノリークス,火,杖,10,紅蓮の二手,火の攻刃,40,400,280.0,2200.0,火属性キャラのダブルアタック確率上昇(大),火属性キャラの攻撃力上昇(小)
星屑の聖杖,水,杖,10,霧氷の攻刃,先制の青の結界,49,350,288.0,2140.0,水属性キャラの攻撃力上昇(大),バトル開始時、水属性キャラにバリア効果
グリダーヴォル,闇,杖,10,奈落の暴君,奈落の治癒,42,390,282.0,2180.0,闇属性キャラの攻撃力上昇(大)/闇属性キャラの最大HP-10%,闇属性キャラの回復上限上昇(大)
ワンド・オブ・ガブリエル,水,杖,30,ガブリエルの祝福II,水の神威,43,350,280.0,2100.0,水属性のキャラが火属性の敵に対して与ダメージUP,水属性キャラの攻撃力と最大HPが上昇(小)
ローズクリスタルワンド,火,杖,60,紅薔薇の棘,紅薔薇の花弁,39,345,260.0,2030.0,,
テュルソス,土,杖,10,地裂の攻刃,先制の岩壁,41,395,281.0,2185.0,土属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間土属性キャラの防御力上昇
ブラック・ウロボロス,闇,杖,10,奈落の攻刃,肉体修復,41,400,274.0,2230.0,闇属性キャラの攻撃力上昇(大),メイン装備時に主人公のみ再生効果
